_id,fid,name,x,y,location,address,city,state,zip,day_time,season
4159,1,5 Generation Bakers—Green Grocer,-80.068176742,40.465622403, ,1100 Chartiers Avenue,McKees Rocks,PA,15136,Tuesday 12:00 PM—1:00 PM,June—November
4160,2,A Child’s World Day Care Center—Green Grocer,-79.881319582,40.412363795, ,300 Rankin Blvd.,Rankin,PA,15104,Thursday 4:30 PM—5:30 PM,June—November
4161,3,Alma Illery Medical Center—Green Grocer,-79.896213628,40.454591626, ,7227 Hamilton Avenue,Pittsburgh,PA,15208,Friday 11:30 AM—12:30 PM,June—November
4162,4,Aspinwall Flea Market,-79.904517479,40.489754816,Municipal parking lot,250 Freeport Road,Pittsburgh,PA,15215,Sunday 7:00 AM—1:00 PM, 
4163,5,Bachman’s Greenhouse and Nursery,-79.711237913,40.639293516, ,2903 Freeport Road,Natrona Heights,PA,15065,Daily 9:00 AM—7:00 PM,June—November
4164,6,Bachman’s Greenhouse and Nursery,-79.730284779,40.667205428,Route 908 & Ekastown Road,Ekastown Road,Natrona Heights,PA,15065,Daily 9:00 AM—7:00 PM,June—November
4165,7,Beccari’s Farm Market,-80.133125695,40.373956722, ,5095 Thoms Run Road,Oakdale,PA,15071,Tuesday—Friday 11:00 AM—5:30 PM,Saturday—Sunday 10:00 AM—4:00 PM
4166,8,Beechview Farmer’s Market—Citiparks,-80.024679606,40.410619493,Broadway Avenue & Beechview Avenue,Broadway Avenue,Pittsburgh,PA,15216,Thursday 4:00 pm—7:00 pm,June 22—September 14
4167,9,Bethel Park Farmer’s Market,-80.052162,40.342564,St. Thomas More church parking lot,Fort Couch Rd,Bethel Park,PA,15102,Tuesday 3:00 PM—7:00 PM, 
4168,10,Bloomfield Farmer’s Market,-79.944361601,40.459080425, ,5050 Liberty Avenue,Pittsburgh,PA,15224,Saturday 9:00 AM—1:00 PM,June--November
4169,11,Braddock Farms (Grow Pittsburgh),-79.868601077,40.403213648,6th Street and Braddock Avenue,600 Braddock Avenue,Braddock,PA,15104,Saturday 10:00 AM—2:00PM,June—October
4170,12,Bridge’s Farm,-79.764412359,40.517649478, ,7108 Leechburg Road,New Kensington,PA,15068,Monday—Saturday 9:00 AM—6:00 PM,Sunday 9:00 AM—5:00 PM
4171,13,Carrick Dairy District—Citiparks,-79.988647249,40.400038497, ,1529 Brownsville Road,Pittsburgh,PA,15210,Wednesday 3:00 PM—7:00 PM,June 21—November 22
4172,14,Coraopolis Farmer’s Market,-80.161049984,40.516299347,Presbyterian Church,1211 Fifth Avenue,Coraopolis,PA,15108,Monday 3:30 PM—6:30 PM, 
4173,15,Dillner Family Farm,-79.9211482,40.669544679, ,4140 Sandy Hill Road,Gibsonia,PA,15044,Daily 9:00 AM—6:00 PM,June—November
4174,16,Duda’s Farm Market,-79.846019,40.220114, ,Route 51 Hayden Blvd,Elizabeth,PA,15037,Monday—Friday 10:00 AM—6:00 PM,Saturday—Sunday 10:00 AM—5:30 PM
4175,17,Duda’s Farm Market,-79.932725923,40.360082144, ,1029 Lebanon Road,West Mifflin,PA,15122,Monday—Friday 10:00 AM—6:00 PM,Saturday—Sunday 10:00 AM—5:30 PM
4176,18,East Liberty Farmer’s Market,-79.92639,40.464192,next to McDonald’s,Penn Circle West,Pittsburgh,PA,15206,Monday 3:00 PM—7:00 PM,June--November
4177,19,Eichner’s Farm Market,-80.060138235,40.607837357, ,285 Richard Road,Wexford,PA,15090,Monday—Friday 9:00 AM—6:00 PM,Saturday—Sunday 9:00 AM—5:00 PM
4178,20,Elizabeth Farmer’s Market,-79.888071,40.272932, ,Water Street,Elizabeth,PA,15037,2nd Saturday of the month,9:00 AM—1:00 PM
4179,21,Etna Farmer’s Market,-79.944054746,40.499679935, ,437 Butler Street,Pittsburgh,PA,15223,Thursday 3:00 PM—6:30 PM,June—October
4180,22,Family Dollar—Green Grocer,-79.88325569,40.29403623, ,533 Miller Avenue,Clairton,PA,15025,Wednesday 3:00 PM—4:00 PM,June—November
4181,23,Farmer’s Co-Op of East Liberty,-79.9214,40.464422, next to Home Depot,344 North Sheridan,Pittsburgh,PA,15206,Saturday 5:00 AM--12:00 PM,Year Round
4182,24,Farmer’s Market at the University of Pittsburgh,-79.964304638,40.437861273, ,3259 5th Avenue,Pittsburgh,PA,15213,Thursday 10:30 AM—2:00 PM,"June, August—October"
